op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms
read,key-0019,2.2790413349866867,200,True,False,12.577056884765625
read,key-0098,2.907540649175644,404,True,False,
read,key-0050,2.054832875728607,200,True,False,3732.3310375213623
write,key-0084,1231.029957998544,201,True,,
read,key-0095,6.362332962453365,404,True,False,
read,key-0099,5.73658337816596,200,True,False,2496.0670471191406
read,key-0099,5.28341718018055,200,True,False,2501.645088195801
read,key-0084,3.802333027124405,200,True,False,21.981000900268555
write,key-0014,1228.573041036725,201,True,,
read,key-0042,5.888333078473806,404,True,False,
read,key-0099,3.9577907882630825,200,True,False,3744.513988494873
write,key-0032,1227.3883749730885,201,True,,
read,key-0050,3.5126246511936188,200,True,False,7455.512762069702
write,key-0084,1235.9272502362728,201,True,,
read,key-0028,6.250459235161543,404,True,False,
read,key-0084,4.6805827878415585,200,True,False,11.225700378417969
read,key-0093,4.698208998888731,404,True,False,
read,key-0050,4.229708109050989,200,True,False,8711.949110031128
read,key-0014,4.285959061235189,200,True,False,2502.1541118621826
read,key-0065,3.8307500071823597,404,True,False,
read,key-0066,4.596374928951263,404,True,False,
read,key-0084,5.018917378038168,200,True,False,38.63883018493652
read,key-0014,3.7899999879300594,200,True,False,2519.8659896850586
read,key-0050,4.004375077784061,200,True,False,8738.175868988037
write,key-0060,1232.9240408726037,201,True,,
read,key-0014,6.1497921124100685,200,True,False,3763.4599208831787
read,key-0099,5.2780830301344395,200,True,False,7503.252983093262
read,key-0094,3.929625265300274,404,True,False,
read,key-0080,4.153791815042496,404,True,False,
read,key-0099,3.9322921074926853,200,True,False,7515.606880187988
read,key-0040,3.6546671763062477,404,True,False,
read,key-0019,4.139500204473734,200,True,False,6288.762092590332
read,key-0084,4.308207891881466,200,True,False,1316.375970840454
read,key-0060,5.312374792993069,200,True,False,42.104244232177734
